,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,FHMS_K110   A1,FHMS_K110-A1,US3137FTZP51,,United States,985941,961,961,USD,ISHCMBS,6/1/2020,
12/30/2021,FHMS_K072   A2,FHMS_K072-A2,US3137FEBQ22,,United States,3450000,3814,3814,USD,ISHCMBS,1/1/2018,
12/30/2021,UBSCM_17-C7   A4,UBSCM_17-C7-A4,US90276WAS61,,United States,1000000,1084,1084,USD,ISHCMBS,12/1/2017,
12/30/2021,CSAIL_18-CX11     A5,CSAIL_18-CX11-A5,US12652UAU34,,United States,1000000,1105,1105,USD,ISHCMBS,4/1/2018,
12/30/2021,GSMS_18-GS9   A4,GSMS_18-GS9-A4,US36255NAT28,,United States,1000000,1110,1110,USD,ISHCMBS,3/1/2018,
12/30/2021,MSC_17-HR2   A4,MSC_17-HR2-A4,US61691NAE58,,United States,2010000,2186,2186,USD,ISHCMBS,12/1/2017,
12/30/2021,BMARK_18-B2   A5,BMARK_18-B2-A5,US08161CAE12,,United States,1750000,1933,1933,USD,ISHCMBS,2/1/2018,
12/30/2021,FHMS_K106   A1,FHMS_K106-A1,US3137FRUS89,3137FRUS8,United States,4416544,4482,4482,USD,ISHCMBS,3/1/2020,
12/30/2021,FHMS_K073   A2,FHMS_K073-A2,US3137FETN09,,United States,4397000,4841,4841,USD,ISHCMBS,2/1/2018,
12/30/2021,BANK_18-BN14   A3,BANK_18-BN14-A3,US06035RAR75,,United States,600000,662,662,USD,ISHCMBS,9/1/2018,
12/30/2021,FHMS_K074   A2,FHMS_K074-A2,US3137F4D414,,United States,4000000,4465,4465,USD,ISHCMBS,3/1/2018,
12/30/2021,BMARK_18-B3   A5,BMARK_18-B3-A5,US08161BAY92,,United States,1000000,1114,1114,USD,ISHCMBS,4/1/2018,
